x position,y position,Simulation Output (V),Analytical Output (V),Absolute error (%),Relative error (%)
-0.9591836734693877,-0.2653061224489796,4.286537709062166e8,1.7988407452465087e8,2.4876969638e8,58.04
-0.9591836734693877,-0.22448979591836735,5.507170599719486e8,5.524939534207553e8,1.77689345e6,0.32
-0.9591836734693877,-0.1836734693877551,6.682605146193144e8,8.600869225091597e8,1.9182640789e8,28.71
-0.9591836734693877,-0.14285714285714285,7.944657322210352e8,1.104236564654438e9,3.0977083243e8,38.99
-0.9591836734693877,-0.10204081632653061,8.753577173716183e8,1.2862181233684635e9,4.10860406e8,46.94
-0.9591836734693877,-0.061224489795918366,9.261171274274824e8,1.4069978683692045e9,4.8088074094e8,51.92
-0.9591836734693877,-0.02040816326530612,9.726802819271724e8,1.4672247691863327e9,4.9454448726e8,50.84
-0.9591836734693877,0.02040816326530612,9.544297041552931e8,1.4672247691863327e9,5.1279506503e8,53.73
-0.9591836734693877,0.061224489795918366,9.249624477292469e8,1.4069978683692045e9,4.8203542064e8,52.11
-0.9591836734693877,0.10204081632653061,9.255256709379625e8,1.2862181233684635e9,3.6069245243e8,38.97
-0.9591836734693877,0.14285714285714285,8.065429843415354e8,1.104236564654438e9,2.9769358031e8,36.91
-0.9591836734693877,0.1836734693877551,7.405894239471864e8,8.600869225091597e8,1.1949749856e8,16.14
-0.9591836734693877,0.22448979591836735,5.633916503172157e8,5.524939534207553e8,1.08976969e7,1.93
-0.9591836734693877,0.2653061224489796,4.176077763994764e8,1.7988407452465087e8,2.3772370187e8,56.93
-0.9183673469387755,-0.3877551020408163,4.05984478759434e8,1.1741391802150528e8,2.8857056074e8,71.08
-0.9183673469387755,-0.3469387755102041,6.31593197373033e8,6.758506284841367e8,4.425743111e7,7.01
-0.9183673469387755,-0.30612244897959184,8.070807698047013e8,1.1650050854720416e9,3.5792431567e8,44.35
-0.9183673469387755,-0.2653061224489796,1.0611524447580208e9,1.587351644485123e9,5.2619919973e8,49.59
-0.9183673469387755,-0.22448979591836735,1.1885693065200205e9,1.9451024910986006e9,7.5653318458e8,63.65
-0.9183673469387755,-0.1836734693877551,1.3452305433376155e9,2.240190661294267e9,8.9496011796e8,66.53
-0.9183673469387755,-0.14285714285714285,1.4976429255128064e9,2.4742542396744275e9,9.7661131416e8,65.21
-0.9183673469387755,-0.10204081632653061,1.5770997124110081e9,2.648622220617637e9,1.07152250821e9,67.94
-0.9183673469387755,-0.061224489795918366,1.5971875677400224e9,2.764302506498654e9,1.16711493876e9,73.07
-0.9183673469387755,-0.02040816326530612,1.652861992190226e9,2.8219724751225696e9,1.16911048293e9,70.73
-0.9183673469387755,0.02040816326530612,1.6732644418601098e9,2.8219724751225696e9,1.14870803326e9,68.65
-0.9183673469387755,0.061224489795918366,1.6408835511953385e9,2.764302506498654e9,1.1234189553e9,68.46
-0.9183673469387755,0.10204081632653061,1.5536521383082108e9,2.648622220617637e9,1.09497008231e9,70.48
-0.9183673469387755,0.14285714285714285,1.461244665393133e9,2.4742542396744275e9,1.01300957428e9,69.33
-0.9183673469387755,0.1836734693877551,1.3616618913313565e9,2.240190661294267e9,8.7852876996e8,64.52
-0.9183673469387755,0.22448979591836735,1.206522019001979e9,1.9451024910986006e9,7.385804721e8,61.22
-0.9183673469387755,0.2653061224489796,1.0334589269737365e9,1.587351644485123e9,5.5389271751e8,53.6
-0.9183673469387755,0.30612244897959184,8.26363998635271e8,1.1650050854720416e9,3.3864108684e8,40.98
-0.9183673469387755,0.3469387755102041,6.311270063333488e8,6.758506284841367e8,4.472362215e7,7.09
-0.9183673469387755,0.3877551020408163,3.930417605658015e8,1.1741391802150528e8,2.7562784254e8,70.13
-0.8775510204081632,-0.46938775510204084,4.2592641272442466e8,1.7988407452179307e8,2.460423382e8,57.77
-0.8775510204081632,-0.42857142857142855,6.725804755941589e8,8.600869224939002e8,1.875064469e8,27.88
-0.8775510204081632,-0.3877551020408163,9.89368914635752e8,1.46722476915733e9,4.7785585452e8,48.3
-0.8775510204081632,-0.3469387755102041,1.2195782539595237e9,2.0043419982094734e9,7.8476374425e8,64.35
-0.8775510204081632,-0.30612244897959184,1.4768098412795196e9,2.474254239646638e9,9.9744439837e8,67.54
-0.8775510204081632,-0.2653061224489796,1.6618525313617218e9,2.8795286960540257e9,1.21767616469e9,73.27
-0.8775510204081632,-0.22448979591836735,1.8505132262476406e9,3.2224646125907264e9,1.37195138634e9,74.14
-0.8775510204081632,-0.1836734693877551,2.0240796842967944e9,3.505074383402615e9,1.48099469911e9,73.17
-0.8775510204081632,-0.14285714285714285,2.1994092011184535e9,3.72906584308926e9,1.52965664197e9,69.55
-0.8775510204081632,-0.10204081632653061,2.257831993555326e9,3.8958263216518035e9,1.6379943281e9,72.55
-0.8775510204081632,-0.061224489795918366,2.2997726075461082e9,4.0064090368496284e9,1.7066364293e9,74.21
-0.8775510204081632,-0.02040816326530612,2.38186086231083e9,4.0615223535007753e9,1.67966149119e9,70.52
-0.8775510204081632,0.02040816326530612,2.3259625934979043e9,4.0615223535007753e9,1.73555976e9,74.62
-0.8775510204081632,0.061224489795918366,2.306603880275216e9,4.0064090368496284e9,1.69980515657e9,73.69
-0.8775510204081632,0.10204081632653061,2.1858284711691647e9,3.8958263216518035e9,1.70999785048e9,78.23
-0.8775510204081632,0.14285714285714285,2.1720382014703927e9,3.72906584308926e9,1.55702764162e9,71.69
-0.8775510204081632,0.1836734693877551,1.9748841730709221e9,3.505074383402615e9,1.53019021033e9,77.48
-0.8775510204081632,0.22448979591836735,1.8525007409179325e9,3.2224646125907264e9,1.36996387167e9,73.95
-0.8775510204081632,0.2653061224489796,1.7145848463467712e9,2.8795286960540257e9,1.16494384971e9,67.94
-0.8775510204081632,0.30612244897959184,1.440971791766939e9,2.474254239646638e9,1.03328244788e9,71.71
-0.8775510204081632,0.3469387755102041,1.2260528157755218e9,2.0043419982094734e9,7.7828918243e8,63.48
-0.8775510204081632,0.3877551020408163,9.717587756228018e8,1.46722476915733e9,4.9546599353e8,50.99
-0.8775510204081632,0.42857142857142855,6.955476711763728e8,8.600869224939002e8,1.6453925132e8,23.66
-0.8775510204081632,0.46938775510204084,4.3541484884426916e8,1.7988407452179307e8,2.5553077432e8,58.69
-0.8367346938775511,-0.5102040816326531,6.55063341989947e8,7.373694067533557e8,8.230606476e7,12.56
-0.8367346938775511,-0.46938775510204084,9.685868946800492e8,1.4672247691456394e9,4.9863787447e8,51.48
